jabs the 63 jabs
92 jury of 246
jury by 326 jury
in 265 jury on
42 jury to 64
jury the 52 jury
as 2255 jury in
143 jury is 300
jury of 392 jury
on 802 jury of
105 jury the 166
jury to 89 jury
as 71 jury it
108 jury the 137
jury in 65 jury
on 58 jury at
53 jury of 51
jury the 53 jury
the 214 jury the
71 jury the 52
jury as 139 jury
at 273 jury by
147 jury in 1149
jury is 135 jury
of 279 jury on
46 jury or 322
jury so 48 jury
to 178 jury at
138 jury at 160
jury an 88 jury
it 107 jury no
58 jury of 44
jury the 601 jury
up 73 jury at
43 jury in 303
jury the 78 jury
in 210 jury to
50 jury is 227
jury of 426 jury
as 185 jury be
5209 jury do 426
jury go 68 jury
in 124 jury or
115 jury so 81
jury of 102 jury
by 163 jury the
166 jury the 63
jury to 837 jury
the 68 jury in
66 jury to 5538
jury as 511 jury
at 69 jury be
69 jury by 130
jury if 51 jury
in 1302 jury is
1455 jury of 1060
jury on 215 jury
or 198 jury so
50 jury the 101
jury to 901 jury
on 182 jury an
234 jury in 108
jury no 73 jury
in 127 jury of
82 jury of 128
jury to 466 jury
at 634 jury in
137 jury of 564
jury as 49 jury
to 46 jury is
89 jury in 46
jury in 193 jury
is 197 jury to
277 jury in 80
jury of 59 jury
in 70 jury on
164 jury to 115
jury in 997 jury
it 76 jury the
214 jury in 57
jury of 91 jury
in 89 jury to
191 jury to 60
jury to 1168 jury
as 121 jury the
67 jury be 31082
jury by 48 jury
he 89 jury in
163 jury so 440
jury we 42 jury
he 67 jury it
182 jury the 404
jury as 42 jury
at 256 jury in
6098 jury on 220
jury to 42 jury
the 45 jury of
53 jury at 42
jury is 67 jury
in 67 jury up
347 jury in 445
jury to 1385 jury
the 147 jury up
49 jury to 328
jury to 403 jury
is 71 jury he
71 jury it 111
jury of 61 jury
the 221 jury is
120 jury as 2666
jury at 562 jury
be 312 jury by
613 jury do 291
jury he 186 jury
if 304 jury in
22072 jury is 1589
jury it 108 jury
of 1364 jury on
956 jury or 792
jury so 102 jury
the 577 jury to
2492 jury the 102
jury to 240 jury
the 121 jury to
121 jury an 239
jury the 5333 jury
he 116 jury it
115 jury the 689
jury in 113 jury
the 93 jury the
183 jury by 43
jury in 209 jury
on 193 jury the
63 jury to 703
jury on 119 jury
to 164 jury to
58 jury the 43
jury to 684 jury
the 91 jury at
185 jury in 91
jury is 161 jury
or 70 jury the
633 jury to 196
jury an 59 jury
he 298 jury it
404 jury no 80
jury the 4921 jury
at 48 jury he
580 jury in 227
jury is 2153 jury
it 293 jury of
101 jury so 84
jury the 558 jury
we 90 jury he
143 jury in 70
jury it 174 jury
the 971 jury to
186 jury the 702
jury of 48 jury
at 122 jury be
39175 jury do 882
jury go 221 jury
in 282 jury no
319 jury of 56
jury or 70 jury
so 70 jury to
139 jury it 165
just it 78 just
of 403 just the
6088 just by 228
just in 91 just
by 98 just the
108 just an 4919
just as 217818 just
at 17318 just be
7484 just by 107
just do 7860 just
eat 413 just go
445 just in 12533
just is 185 just
it 2834 just me
2107 just my 5078
just no 2986 just
of 360 just ok
317 just on 8823
just or 210 just
re 186 just rs
249 just sea 40
just so 2790 just
tea 190 just the
283798 just to 351513
just up 4117 just
us 830 just an
2498 just as 815
just at 473 just
by 256 just ear
92 just he 137
just in 2511 just
is 1575 just it
27779 just joe 44
just king 100 just
la 180 just le
135 just me 4473
just ms 364 just
my 15022 just of
262 just on 1163
just or 8200 just
ph 280 just rs
51 just sea 4200
just so 44 just
st 172 just tc
2210 just te 103
just the 804518 just
tho 141 just tm
174 just to 824
just us 6607 just
we 223 just it
44 just of 134
just the 44 just
the 86 just to
296 just of 504
just as 2577 just
at 58 just in
395 just it 59
just on 1263 just
or 43 just so
245 just the 194
just to 57 just
as 324 just by
250 just in 982
just is 2036 just
of 1002 just on
282 just or 228
just to 326 just
it 43 just the
131 just to 416
just an 630 just
as 343 just at
85 just by 191
just in 974 just
is 641 just it
409 just my 84
just on 1392 just
or 102 just so
97 just the 2072
just to 11544 just
up 532 just at
52 just he 169
just it 2467 just
of 180 just the
845 just to 479
just we 85 just
an 45 just it
91 just the 508
just it 435 just
me 90 just my
59 just the 476
just to 166 just
ad 116 just an
5655 just as 192
just at 41 just
be 43 just by
45 just dr 46
just ed 42 just
he 50897 just in
283 just is 126
just it 23733 just
joe 147 just king
342 just la 116
just le 92 just
leo 66 just me
998 just mr 401
just my 21837 just
of 65 just on
151 just or 1045
just poe 54 just
re 51 just so
104 just st 213
just tea 835 just
the 501223 just tho
145 just toe 65
just to 184 just
us 519 just vj
92 just we 18138
just ww 326 just
as 134 just to
60 just in 57
just it 45 just
on 837 just or
73 just to 2947
just we 94 just
in 97 just the
42 just at 1201
just it 54 just
the 117 just to
205 just on 72
just at 430 just
in 372 just of
348 just the 105
just to 1746 just
the 123 just to
112 just the 79
just as 276 just
at 88 just in
1505 just on 266
just or 115 just
so 98 just to
840 just by 48
just in 142 just
to 44 just an
67 just it 1087
just me 1376 just
my 103 just of
57 just the 2779
just to 88 just
us 376 just of
55 just to 41
just in 224 just
it 112 just the
934 just me 127
just in 57 just
the 215 just to
1080 just on 49
just the 82 just
me 44 just the
46 just to 62
just me 48 just
me 118 just the
110 just the 79
just as 185 just
at 2031 just he
585 just in 955
just is 559 just
it 69 just of
74 just on 314
just or 129 just
so 86 just the
196 just to 2254
just we 534 just
of 152 just of
95 just to 2383
just as 1576 just
at 516 just by
125 just in 2825
just on 1727 just
or 114 just so
107 just to 1779
just an 61 just
in 99 just it
449 just the 1779
just to 4983 just
the 83 just in
109 just the 65
just in 149 just
in 126 just the
41 just in 47
just in 63 just
of 44 just the
148 just an 150
just as 101 just
at 54 just be
40 just by 159
just if 6680 just
in 205 just is
276 just it 275
just me 13612 just
my 844 just of
378 just or 52
just the 5224 just
to 3014 just us
873 just the 71
just in 81 just
in 171 just it
429 just me 45
just the 1385 just
the 183 just in
139 just to 69
just in 55 just
to 616 just in
50 just of 895
just to 125 just
of 2564 just at
255 just in 164
just at 107 just
if 299 just in
144 just on 81
just the 140 just
to 679 just in
65 just to 158
just in 295 just
the 78 just up
660 just up 149
just in 53 just
me 123 just an
49 just in 121
just it 122 just
on 81 just the
61 just of 201
just of 255 just
it 172 just my
153 just on 357
just the 172 just
up 432 just on
67 just of 86
just my 74 just
in 4022 just up
46 just in 563
just at 91 just
up 109 just to
516 just in 104
just on 16954 just
of 48 just to
254 just by 43
just in 181 just
is 45 just of
3138 just on 158
just the 110 just
to 248 just in
627 just in 595
just my 74 just
the 95 just the
66 just as 136
just at 283 just
in 61 just on
91 just of 76
just at 79 just
by 422 just in
223 just me 295
just on 115 just
the 1453 just to
197 just up 419
just us 134 just
in 47 just of
65 just at 109
just at 110 just
by 50 just in
284 just it 64
just my 62 just
on 75 just the
271 just to 12209
just me 194 just
the 369 just to
3131 just us 51
just as 96 just
at 385 just by
381 just in 216
just it 108 just
my 43 just on
191 just the 429
just to 15751 just
an 821 just as
1017 just at 1489
just by 599 just
he 44 just if
62 just in 5557
just is 284 just
it 769 just my
1703 just of 138
just on 1727 just
or 572 just so
228 just the 7477
just to 156395 just
we 57 just up
47 just in 125
just to 1742 just
an 1929 just as
500 just at 405
just by 141 just
ear 91 just he
125 just if 41
just in 1218 just
is 1237 just it
23798 just king 112
just la 140 just
le 58 just me
4809 just mt 141
just my 7751 just
of 97 just on
904 just or 3041
just ph 152 just
sea 1180 just so
121 just st 259
just tc 1752 just
te 129 just the
830773 just tho 131
just tm 268 just
tn 48 just to
764 just us 7934
just we 97 just
it 47 just the
222 just to 189
just the 48 just
an 397 just in
40 just is 138
just it 6015 just
me 671 just my
1839 just or 355
just the 158715 just
to 43 just us
1210 just on 337
just the 58 just
up 61 just of
157 just on 116
just or 530 just
it 623 just me
188 just of 654
just or 59 just
the 822 just to
57 just the 214
just it 52 just
it 98 just the
201 just up 137
just up 51 just
to 106 just in
1438 just it 45
just of 49 just
the 63 just the
63 just to 286
just at 82 just
on 179 just of
469 just in 97
just it 386 just
the 347 just in
299 just it 210
just me 69 just
my 107 just on
114 just the 217
just up 727 just
an 46 just by
57 just in 1094
just it 459 just
me 72 just my
218 just on 140
just the 634 just
to 177 just up
3594 just in 93
just it 125 just
me 446 just my
597 just the 123
just up 294 just
it 41 just of
51 just it 1393
just the 41 just
it 167 just the
140 just of 1410
just in 45 just
up 265 just the
66 just up 133
just the 51 just
of 62 just in
59 just in 138
just of 77 just
on 82 just or
62 just to 131
just the 75 just
at 46 just by
172 just in 143
just me 150 just
or 143 just the
53 just to 314
just me 217 just
by 98 just in
201 just on 43
just the 181 just
to 125 just me
121 just to 70
just by 110 just
in 46 just it
49 just the 57
just to 1702 just
up 475 just in
89 just my 199
just to 485 just
the 67 just up
99 just of 223
just up 60 just
of 44 just as
1645 just at 153
just he 75 just
in 1833 just it
146 just my 184
just on 753 just
the 2351 just to
97 just up 3710
just in 62 just
it 48 just me
105 just my 1342
just the 527 just
up 267 just in
1125 just it 241
just on 228 just
the 237 just in
1474 just is 83
just it 151 just
on 105 just the
505 just to 52
just up 66 just
the 59 just me
48 just in 1314
just it 540 just
me 253 just my
1665 just on 130
just the 1792 just
to 64 just up
8248 just on 75
just or 43 just
by 97 just it
1024 just me 158
just my 197 just
on 258 just the
676 just up 185
just the 40 just
in 318 just on
117 just me 81
just an 170 just
in 200 just it
449 just me 56
just my 54 just
on 539 just the
858 just up 792
just an 432 just
as 196 just at
597 just by 840
just in 2230 just
is 186 just it
534 just me 49
just my 77 just
of 87 just on
1775 just or 97
just the 1383 just
to 453 just up
2760 just in 139
just on 55 just
the 47 just of
63 just up 97
just it 68 just
the 230 just to
284 just up 1048
just me 415 just
my 63 just the
57 just up 204
just it 71 just
my 59 just the
149 just to 63
just up 93 just
in 1758 just on
456 just the 178
just it 47 just
the 107 just at
46 just my 72
just to 168 just
me 44 just an
78 just in 614
just it 898 just
me 400 just my
173 just on 854
just the 931 just
to 5830 just up
265 just us 86
just in 108 just
it 619 just me
941 just of 40
just on 97 just
the 914 just to
156 just up 255
just us 84 just
in 90 just of
129 just the 52
just an 54 just
in 245 just it
1639 just me 370
just my 139 just
on 14721 just the
1433 just us 136
just the 42 just
in 190 just of
903 just in 456
just an 52 just
my 73 just the
76 just an 72
just in 54 just
it 712 just me
189 just my 318
just on 603 just
the 4754 just up
2280 just us 92
just to 288 just
an 155 just as
3621 just at 713
just be 2510 just
by 2780 just do
244 just he 2082
just if 513 just
in 12320 just is
10254 just it 648
just me 104 just
my 44 just no
133 just of 121830
just on 968 just
or 50094 just so
1202 just the 1944
just to 83939 just
us 134 just we
1025 just the 108
just in 1295 just
in 51 just as
43 just in 83
just the 45 just
to 5226 just to
1459 just by 96
just to 273 just
it 1102 just up
188 just an 42
just as 125 just
at 52 just by
41 just in 1051
just it 1252 just
my 1101 just of
626 just on 51
just or 79 just
the 11943 just to
511 just an 51
just in 40 just
it 124 just my
251 just or 50
just the 4924 just
to 342 just the
78 just the 104
just the 41 just
it 62 just me
51 just the 205
just us 55 just
me 47 just the
259 just on 110
just the 45 just
at 51 just if
259 just in 1884
just it 1179 just
me 93 just my
546 just on 1916
just or 41 just
the 4151 just to
882 just up 337
just me 74 just
up 470 just it
49 just on 281
just the 282 just
up 58 just on
43 just the 49
just up 40 just
of 268 just at
55 just in 65
just on 43 just
the 52 just the
55 just of 95
just on 61 just
the 46 just up
84 just it 71
just the 615 just
to 1626 just in
234 just it 912
just me 57 just
the 499 just an
116 just as 2502
just at 114 just
be 105 just by
501 just do 1135
just he 450 just
in 3289 just is
5702 just it 921
just no 47 just
of 812 just on
365 just or 162
just so 47 just
the 2616 just to
854 just we 571
just to 115 just
as 846 just at
129 just by 692
just he 354 just
in 820 just is
692 just it 308
just of 7450 just
on 8098 just or
1496 just the 278
just to 54182 just
we 41 just it
43 just the 81
just up 680 just
or 100 just it
175 just my 130
just the 598 just
up 3701 just the
56 just up 119
just it 132 just
my 273 just the
5362 just up 833
just it 60 just
the 3420 just an
191 just at 221
just in 4528 just
it 1439 just my
59 just ok 3864
just on 43491 just
the 15954 just to
515 just in 817
just it 44 just
on 804 just the
392 just to 86
just up 2144 just
the 151 just up
54 just the 52
just at 80 just
by 1499 just in
291 just it 825
just my 2738 just
on 179 just the
4703 just to 2860
just up 1966 just
an 56 just as
357 just at 81
just in 1134 just
is 77 just it
279 just my 437
just on 163 just
or 42 just the
3285 just up 2183
just the 63 just
to 105 just on
119 just the 70
just the 375 just
of 42 just to
74 just in 224
just it 60 just
or 118 just the
120 just my 61
just as 347 just
at 156 just by
176 just in 3846
just of 101 just
on 933 just or
43 just so 111
just to 4994 just
up 2262 just the
84 just up 129
just it 52 just
the 70 just an
51 just it 211
just me 53 just
my 50 just or
52 just the 1054
just of 108 just
up 119 just be
2865 just do 158
just go 81 just
no 315 just as
177 just it 223
just me 287 just
my 117 just on
1601 just the 2601
just to 221 just
up 351 just of
138 just an 40
just it 1499 just
me 106 just my
228 just the 11057
just up 1507 just
us 128 just in
63 just it 106
just me 75 just
on 44 just the
280 just up 741
just it 140 just
the 98 just up
239 just at 51
just in 187 just
on 114 just the
76 just it 40
just the 42 just
in 636 just on
158 just to 202
just up 489 just
as 166 just in
134 just on 69
just or 102 just
to 2299 just an
974 just it 248
just the 1480 just
us 51 just an
407 just it 52
just the 438 just
in 316 just up
522 just in 556
just up 536 just
as 212 just at
78 just in 137
just my 136 just
on 148 just the
71 just to 121
just of 55 just
up 248 just it
315 just me 60
just my 253 just
the 1661 just to
47 just in 288
just to 112 just
it 82 just me
47 just the 155
just of 148 just
the 81 just the
43 just up 444
just up 472 just
of 137 just the
102 just the 59
just to 50 just
in 40 just it
239 just me 44
just my 75 just
the 980 just to
54 just up 809
just as 42 just
in 214 just on
125 just the 98
just to 144 just
up 44 just in
167 just on 191
just the 59 just
to 172 just as
83 just if 115
just in 257 just
on 56 just to
134 just in 40
just by 45 just
in 128 just the
41 just to 494
just to 42 just
the 50 just up
41 just as 393
just in 412 just
on 1243 just on
137 just by 56
just in 167 just
of 239 just as
957 just at 293
just be 2264 just
by 714 just he
127 just if 179
just in 507 just
is 476 just of
3272 just on 103
just or 700 just
to 2134 just of
398 just the 172
just to 94 just
the 40 just it
100 just the 548
just of 262 just
it 122 just the
228 just the 191
just in 618 just
it 104 just the
200 just up 197
just at 389 just
in 131 just on
599 just in 335
just my 60 just
the 193 just up
288 just it 70
just the 159 just
in 257 just up
58 just the 100
just the 162 just
on 680 just on
1236 just the 73
just as 161 just
it 84 just of
265 just me 57
just on 180 just
the 55 just it
77 just the 185
just in 534 just
it 528 just my
131 just tea 122
just the 476 just
to 103 just up
129 just it 76
just the 73 just
an 67 just in
410 just it 218
just me 45 just
my 70 just on
744 just the 672
just to 1420 just
up 1493 just an
119 just as 300
just at 121 just
by 239 just in
1175 just is 839
just it 397 just
my 194 just of
443 just on 1548
just so 87 just
the 1133 just to
1491 just up 5424
just the 264 just
it 61 just the
103 just in 58
just it 193 just
of 791 just or
118 just the 91
just up 187 just
of 441 just or
129 just as 121
just in 223 just
it 90 just the
122 just up 379
just in 64 just
it 67 just on
120 just the 96
just up 2611 just
up 499 just by
61 just in 690
just on 698 just
to 98 just up
54 just it 40
just the 67 just
at 69 just in
603 just it 1153
just my 163 just
on 286 just tea
107 just the 681
just to 567 just
up 396 just an
50 just as 112
just by 1981 just
in 1977 just it
773 just me 917
just my 167 just
on 4461 just the
1477 just to 1069
just up 3012 just
us 250 just by
2073 just in 792
just it 153 just
me 542 just my
58 just on 350
just the 617 just
to 501 just up
1646 just us 52
just on 64 just
by 117 just in
1105 just it 187
just of 246 just
the 403 just to
150 just by 1775
just in 1649 just
it 406 just me
867 just my 89
just on 2124 just
the 852 just to
334 just up 4087
just us 195 just
in 328 just the
48 just an 40
just as 99 just
at 76 just in
109 just it 80
just my 89 just
of 59 just on
96 just or 112
just tea 93 just
the 401 just to
129 just it 207
just on 67 just
the 326 just it
49 just the 112
just the 95 just
in 155 just on
1057 just on 296
just an 135 just
by 56 just in
63 just it 69
just me 46 just
my 199 just the
409 just of 198
just if 200 just
in 65 just on
83 just to 6470
just be 50 just
in 69 just the
84 just of 478
just the 64 just
to 109 just the
239 just the 57
just up 98 just
the 167 just on
42 just at 124
just by 61 just
in 210 just of
958 just or 705
just to 321 just
by 53 just in
49 just to 392
just the 47 just
the 50 just to
80 just the 108
just it 45 just
me 103 just the
76 just it 117
just my 73 just
of 110 just the
328 just an 394
just as 765 just
at 507 just by
217 just he 118
just in 5752 just
is 784 just it
379 just my 241
just of 85 just
on 643 just or
221 just so 281
just the 1781 just
to 217 just up
7162 just we 103
just in 1587 just
the 169 just in
2555 just the 79
just an 108 just
it 3542 just me
43 just my 411
just the 11608 just
an 118 just as
42 just in 238
just it 367 just
my 68 just the
5508 just at 113
just in 2655 just
it 57 just or
77 just the 12371
just to 56367 just
it 325 just the
557 just the 69
just or 73 just
the 129 just the
246 just the 131
just so 196 just
thing 97 just the
58 just the 43
just as 782 just
at 111 just by
83 just in 1377
just on 607 just
or 63 just to
181 just the 402
just the 53 just
in 60 just it
64 just the 422
just up 155 just
in 203 just the
51 just to 71
just in 61 just
of 493 just or
186 just to 193
just in 122 just
to 52 just in
73 just of 53
just to 1967 just
at 42 just in
62 just of 212
just the 48 just
to 5196 just it
209 just the 58
just as 173 just
in 1425 just on
620 just to 510
just in 410 just
on 240 just to
336 just or 81
just to 156 just
if 169 just it
145 just me 65
just my 65 just
the 462 just the
110 just to 108
just of 154 just
to 116 just the
62 just in 40
just me 85 just
the 58 just to
53 just the 74
just on 43 just
it 71 just me
127 just my 61
just on 152 just
the 758 just us
86 just on 104
just the 198 just
an 106 just as
402 just at 56
just in 1246 just
is 156 just it
604 just me 66
just my 490 just
of 2732 just on
100 just or 100
just so 1156 just
the 2341 just to
107 just us 45
just as 609 just
he 142 just in
41 just it 312
just so 2876 just
the 481 just to
73 just in 49
just it 150 just
me 142 just my
246 just the 357
just of 191 just
of 45 just in
44 just of 95
just or 326 just
to 91 just in
122 just it 365
just of 238 just
on 141 just the
276 just to 167
just an 111 just
by 59 just in
320 just it 256
just my 41 just
on 160 just the
219 just on 51
just an 64 just
in 5812 just it
169 just me 142
just my 82 just
the 1670 just up
1984 just in 274
just it 155 just
me 159 just my
80 just the 2843
just up 916 just
the 57 just an
248 just it 702
just my 239 just
the 2083 just an
50 just it 408
just me 52 just
the 283 just the
99 just an 120
just as 96 just
at 766 just by
106 just in 124
just it 141 just
me 622 just my
175 just on 575
just the 1067 just
to 59 just up
279 just in 40
just of 51 just
to 57 just in
95 just the 43
just to 63 just
in 790 just it
128 just my 52
just the 711 just
to 70 just up
56 just an 48
just at 90 just
by 51 just in
233 just it 603
just me 115 just
my 177 just on
441 just the 563
just to 238 just
up 482 just the
58 just up 150
just by 54 just
it 59 just my
50 just on 104
just the 97 just
the 61 just the
49 just it 125
just on 98 just
the 186 just by
515 just in 622
just on 94 just
the 74 just at
43 just by 208
just in 4090 just
on 1967 just or
84 just the 118
just to 126 just
up 578 just to
354 just the 158
just it 48 just
me 40 just in
169 just by 427
just in 9483 just
on 52 just the
402 just to 566
just up 669 just
in 92 just of
54 just on 125
just to 51 just
it 189 just the
161 just to 65
just at 47 just
in 554 just my
60 just on 30247
just the 59 just
the 106 just up
360 just up 92
just in 46 just
me 262 just the
111 just us 141
just it 154 just
me 141 just my
43 just of 1166
just or 41 just
the 388 just to
43 just us 74
just it 50 just
me 42 just the
166 just the 51
just an 82 just
as 165 just at
193 just in 576
just on 187 just
or 81 just the
363 just to 90
just up 289 just
in 52 just of
2872 just the 52
just at 54 just
in 46 just of
121 just or 194
just to 47 just
an 1432 just as
322 just at 354
just be 55 just
by 650 just he
64 just in 8510
just is 810 just
it 9094 just me
647 just my 1348
just of 49 just
on 1688 just or
113 just so 248
just the 9121 just
to 1047 just us
296 just we 116
just it 53 just
of 147 just the
93 just the 75
just me 118 just
of 84 just by
104 just me 55
just of 108 just
the 286 just up
114 just the 66
just as 55 just
in 109 just in
52 just the 61
just of 231 just
as 120 just at
43 just in 445
just me 91 just
on 218 just the
54 just to 173
just up 1076 just
of 892 just or
89 just do 246
just go 192 just
me 54 just up
147 just up 44
just the 40 just
the 140 just or
59 just to 259
just an 100 just
the 491 just in
109 just me 122
just up 59 just
at 1362 just in
65 just at 47
just in 139 just
it 89 just my
97 just the 293
just up 508 just
of 52 just at
150 just at 2815
just in 152 just
on 198 just up
468 just at 167
just to 120 just
up 42 just an
828 just as 215
just at 226 just
by 13298 just in
8199 just it 2724
just me 415 just
my 2623 just on
9744 just or 77
just so 1097 just
the 11662 just to
18671 just up 19545
just us 312 just
of 109 just to
56 just the 850
just it 46 just
the 160 just in
279 just or 46
just to 57 just
an 3611 just as
3132 just at 458
just be 187 just
by 3541 just do
777 just he 195
just if 110 just
in 7446 just is
11471 just it 5049
just me 15013 just
my 1153 just no
137 just of 8340
just on 938 just
or 277 just so
888 just the 13093
just to 9689 just
up 19588 just us
4616 just we 1237
just an 379 just
in 359 just it
735 just me 3164
just the 2550 just
to 69 just up
2839 just us 1569
just at 864 just
at 274 just by
125 just in 50
just on 44 just
in 183 just of
55 just in 383
just of 381 just
on 89 just my
95 just on 238
just the 45 just
to 221 just at
50 just of 207
just be 3941 just
do 951 just eat
85 just go 2943
just up 91 just
on 59 just be
1212 just do 727
just go 1977 just
at 54 just it
72 just me 104
just my 43 just
the 260 just if
44 just in 68
just to 255 just
me 212 just the
110 just us 44
just at 40 just
it 138 just the
380 just on 83
just at 70 just
my 40 just the
1738 just it 154
just my 335 just
on 40 just the
2980 just the 214
just or 45 just
to 65 just or
40 just the 52
just as 110 just
of 221 just so
110 just to 151
just it 148 just
my 80 just on
42 just the 82
just to 126 just
up 113 just at
170 just the 76
just to 57 just
in 250 just the
171 just in 515
just on 146 just
so 52 just the
89 just to 285
just up 6905 just
at 73 just an
52 just by 103
just in 177 just
on 50 just so
104 just to 548
just up 5399 just
as 85 just in
107 just on 171
just up 283 just
in 480 just of
77 just at 52
just or 57 just
the 113 just at
2625 just he 92
just it 198 just
on 94 just or
75 just the 287
just we 105 just
it 96 just me
68 just the 146
just to 41 just
the 76 just or
42 just of 141
just or 148 just
at 40 just at
84 just the 96
just it 61 just
in 166 just it
358 just me 211
just the 351 just
it 130 just me
164 just of 118
just on 902 just
the 338 just to
107 just as 233
just at 83 just
he 428 just if
125 just in 199
just it 244 just
or 74 just the
235 just to 14144
just we 313 just
on 117 just it
1562 just me 287
just my 153 just
the 1766 just to
2128 just us 86
just it 316 just
me 312 just the
390 just to 665
just us 44 just
in 242 just the
74 just the 52
just in 108 just
on 108 just the
73 just to 257
just up 310 just
of 49 just the
125 just up 54
just on 178 just
up 112 just in
50 just it 54
just the 59 just
to 111 just up
226 just it 95
just the 79 just
up 111 just on
85 just to 359
just an 80 just
at 52 just in
84 just it 68
just me 983 just
my 185 just the
1058 just to 741
just us 277 just
if 49 just in
53 just me 539
just the 281 just
to 870 just us
338 just in 50
just it 221 just
the 436 just in
43 just to 45
just up 288 just
at 508 just of
83 just to 60
just at 997 just
of 542 just to
54 just an 296
just as 354 just
at 85 just by
260 just in 106
just is 72 just
me 590 just my
47 just on 519
just the 445 just
to 667 just us
52 just me 46
just the 60 just
up 236 just it
162 just me 176
just my 229 just
on 117 just the
2006 just the 50
just an 96 just
in 205 just it
2142 just me 406
just my 586 just
of 44 just on
6073 just or 87
just the 2968 just
to 70 just up
961 just us 69
just it 376 just
me 230 just my
95 just on 523
just the 930 just
up 297 just us
81 just up 635
just in 1467 just
in 57 just of
139 just the 42
just to 240 just
up 454 just he
4782 just it 3899
just my 290 just
no 675 just the
3099 just to 1595
just we 549 just
he 132 just it
102 just of 1102
just the 129 just
to 167 just in
112 just on 317
just up 40 just
in 105 just of
542 just or 489
just to 541 just
in 117 just the
98 just at 63
just me 43 just
the 76 just in
83 just or 61
just to 205 just
the 61 just it
76 just me 426
just the 44 just
or 84 just to
149 just of 221
just in 41 just
it 68 just on
322 just the 42
just to 59 just
up 2715 just me
62 just so 61
just the 92 just
me 240 just my
79 just so 683
just the 61 just
to 172 just of
142 just of 49
just of 1504 just
the 42 just on
69 just on 131
just it 67 just
the 117 just of
474 just the 91
just to 89 just
is 60 just the
143 just to 41
just me 46 just
of 56 just an
133 just of 125
just the 528 just
an 68 just the
91 just to 40
just to 4861 just
in 228 just of
293 just on 69
just to 68 just
me 128 just my
63 just us 62
just in 409 just
the 1180 just to
44 just up 50
just us 407 just
the 110 just me
64 just it 47
just as 44 just
by 262 just he
126 just if 88
just in 1047 just
is 664 just it
55 just me 43
just of 3948 just
on 98 just or
117 just the 146
just to 696 just
by 206 just the
81 just at 112
just in 948 just
on 946 just the
81 just to 391
just up 868 just
in 337 just on
181 just to 112
just up 133 just
to 145 just an
1070 just at 77
just in 1191 just
it 1716 just me
611 just my 1095
just of 57 just
on 954 just the
4757 just to 201
just up 6275 just
us 351 just an
137 just at 155
just in 62 just
it 529 just me
544 just my 88
just on 15643 just
the 1424 just to
144 just up 516
just us 327 just
in 211 just up
135 just in 255
just it 270 just
me 54 just my
58 just the 397
just up 293 just
in 114 just the
84 just me 541
just of 73 just
on 162 just or
124 just the 63
just us 104 just
it 81 just me
681 just my 71
just the 490 just
us 198 just it
52 just me 1465
just the 267 just
us 59 just do
41 just go 88
just of 187 just
me 85 just the
387 just up 84
just in 44 just
on 40 just at
45 just by 50
just in 86 just
on 82 just to
74 just at 336
just it 739 just
me 281 just on
4175 just the 690
just us 63 just
he 1290 just in
67 just is 78
just it 1103 just
my 123 just of
123 just or 98
just the 3676 just
we 280 just as
1954 just by 200
just he 81 just
in 156 just it
165 just the 145
just to 339 just
he 540 just in
45 just it 907
just me 229 just
the 502 just to
71 just we 42
just it 207 just
the 211 just to
90 just in 1135
just the 175 just
the 462 just at
201 just in 487
just on 402 just
in 88 just on
63 just at 42
just it 97 just
the 72 just up
83 just or 43
just on 372 just
in 104 just on
93 just as 218
just at 24126 just
if 246 just in
1028 just it 1237
just me 40 just
or 169 just the
66 just to 107
just up 40 just
of 143 just in
354 just it 48
just my 118 just
on 1226 just the
65 just up 373
just at 68 just
in 81 just on
97 just the 79
just to 189 just
up 173 just an
49 just as 143
just at 55 just
by 153 just in
229 just it 482
just my 114 just
of 633 just on
129 just or 108
just the 6514 just
to 25769 just the
40 just to 232
just it 98 just
the 160 just an
47 just it 686
just me 907 just
my 52 just the
2087 just us 575
just of 51 just
or 72 just it
73 just of 109
just go 3408 just
in 209 just it
3866 just me 1520
just my 699 just
on 240 just the
5168 just up 40
just us 598 just
by 43 just in
378 just of 1168
just the 130 just
to 201 just to
757 just it 54
just my 50 just
the 160 just the
59 just it 290
just my 110 just
the 1254 just to
92 just up 823
just it 42 just
the 284 just up
214 just as 217
just by 228 just
in 285 just it
354 just my 141
just of 145 just
on 215 just or
111 just the 649
just to 231 just
up 1797 just it
1403 just me 443
just my 176 just
the 6390 just to
8859 just us 66
just it 337 just
me 324 just my
81 just the 1219
just to 8251 just
us 81 just or
40 just it 138
just my 60 just
of 548 just the
385 just to 194
just the 92 just
up 1034 just in
121 just of 758
just on 609 just
to 43 just up
246 just in 148
just on 472 just
on 47 just to
681 just the 56
just to 101 just
in 277 just to
227 just the 1053
just of 2396 just
the 419 just an
54 just as 271
just at 130 just
by 143 just in
4199 just it 425
just my 155 just
on 1746 just the
307 just to 1748
just up 247 just
as 114 just at
54 just by 839
just in 689 just
it 103 just of
61 just on 730
just to 220 just
up 78 just it
63 just the 295
just up 198 just
of 905 just the
297 just in 141
just on 77 just
or 45 just it
43 just the 65
just in 122 just
or 290 just to
81 just me 125
just the 481 just
up 1254 just the
50 just up 92
just in 65 just
on 166 just of
51 just in 74
just to 804 just
as 303 just at
155073 just in 4434
