jabs the 145 jabs
just he 714 just
if 46 just it
1875 just my 42
just the 1685 just
to 61 just we
552 just an 51
just he 112 just
it 304 just the
608 just we 58
just me 93 just
the 43 just us
48 just of 2197
just the 57 just
it 143 just my
67 just the 373
just to 116 just
it 64 just me
74 just on 548
just the 436 just
us 80 just the
146 just to 87
just the 299 just
to 1179 just of
44 just of 778
just an 63 just
it 138 just me
116 just my 43
just the 1306 just
it 57 just the
252 just an 61
just the 609 just
the 53 just of
159 just in 43
just to 89 just
on 584 just on
192 just to 40
just in 188 just
in 44 just the
163 just up 1671
just of 126 just
the 78 just on
45 just up 95
just my 56 just
the 42 just the
112 just of 40
just an 141 just
as 258 just at
398 just be 2534
just by 73 just
do 359 just go
49 just in 4765
just is 41 just
of 71 just on
1467 just or 75
just so 1498 just
the 334 just to
1111 just up 268
just in 1353 just
on 51 just in
130 just at 133
just on 43 just
in 91 just in
281 just the 46
just on 44 just
the 48 just me
73 just of 84
just an 510 just
my 185 just so
370 just the 926
just an 2563 just
as 272 just in
119 just king 461
just my 680 just
of 188 just so
1483 just the 8389
just an 548 just
as 40 just of
114 just so 119
just the 630 just
to 55 just ad
264 just al 103
just an 14291 just
as 1015 just at
394 just be 366
just by 1211 just
dr 76 just ed
76 just he 213582
just ho 131 just
if 59 just in
4011 just is 387
just it 114310 just
joe 246 just king
654 just la 248
just le 165 just
leo 65 just ma
47 just me 9444
just mr 617 just
my 41843 just no
111 just of 394
just on 782 just
or 79258 just pa
60 just poe 58
just re 508 just
si 156 just so
1607 just st 321
just tea 1596 just
the 1318680 just tho
413 just thy 95
just toe 195 just
to 1230 just tv
55 just us 8495
just we 69370 just
ww 186 just ye
88 just me 239
just of 43 just
the 157 just to
526 just at 217
just in 60 just
is 68 just the
165 just to 17088
just as 768 just
in 166 just to
40 just as 290
just in 308 just
the 51 just in
110 just so 155
just the 467 just
an 568 just as
166 just at 130
just ear 51 just
in 464 just is
202 just it 12618
just joe 67 just
king 64 just la
50 just me 14778
just mr 47 just
my 9339 just of
70 just on 212
just or 870 just
st 286 just the
238446 just to 186
just us 8447 just
it 40 just the
49 just in 706
just of 137 just
or 42 just the
83 just to 420
just to 469 just
the 44 just of
99 just an 97
just it 2134 just
me 1465 just my
499 just or 49
just the 14271 just
us 851 just at
1796 just be 1059
just do 181 just
go 465 just if
229 just in 200
just on 88 just
or 117 just to
1089 just of 165
just an 932 just
as 51 just at
242 just by 45
just he 172 just
in 550 just is
1573 just it 13988
just king 56 just
la 138 just le
61 just me 1246
just my 10858 just
on 359 just or
335 just st 217
just the 280745 just
to 416 just us
1450 just we 245
just me 76 just
the 75 just us
42 just by 194
just me 195 just
my 99 just the
261 just it 125
just me 53 just
the 136 just the
40 just up 131
just in 152 just
of 95 just in
178 just at 122
just it 90 just
the 210 just it
98 just of 596
just the 117 just
in 56 just on
41 just to 86
just to 69 just
the 58 just it
203 just it 67
just the 241 just
up 297 just in
114 just of 96
just to 91 just
in 135 just it
69 just the 155
just up 189 just
in 130 just on
131 just the 97
just to 58 just
the 325 just an
43 just in 92
just me 43 just
my 43 just the
94 just us 41
just up 92 just
on 117 just it
560 just my 46
just the 478 just
me 80 just me
710 just the 43
just it 94 just
up 59 just an
2079 just as 385
just at 2141 just
by 385 just in
3419 just is 429
just it 5591 just
me 1283 just my
932 just of 265
just on 1071 just
or 315 just so
115 just the 10094
just to 519 just
up 822 just us
265 just it 50
just on 42 just
the 72 just up
77 just the 60
just up 152 just
by 97 just in
527 just of 2932
just the 77 just
to 258 just me
151 just on 45
just to 78 just
in 66 just the
64 just it 100
just the 42 just
the 80 just in
848 just it 107
just on 264 just
the 200 just by
58 just in 363
just it 51 just
up 74 just the
50 just the 95
just the 54 just
an 179 just as
41 just at 49
just by 348 just
in 1702 just it
358 just my 485
just of 52 just
on 291 just or
51 just the 4359
just to 203 just
up 16042 just on
40 just in 73
just the 347 just
to 132 just in
152 just or 64
just the 214 just
to 72 just it
220 just me 60
just my 238 just
the 1706 just up
346 just up 595
just up 256 just
in 500 just up
54 just on 75
just me 140 just
the 46 just an
129 just in 90
just it 108 just
my 42 just on
351 just the 607
just to 46 just
up 2572 just on
99 just the 79
just up 1049 just
it 81 just me
61 just my 169
just the 124 just
up 167 just up
148 just of 463
just an 82 just
by 49 just in
1225 just it 458
just me 49 just
my 932 just the
808 just in 145
just it 228 just
me 141 just my
217 just the 672
just to 472 just
up 535 just in
56 just at 135
just in 128 just
on 134 just the
102 just to 886
just of 152 just
in 111 just my
92 just the 99
just up 399 just
in 238 just up
162 just of 41
just in 95 just
me 92 just the
78 just it 87
just the 298 just
me 53 just to
83 just an 666
just as 100 just
at 855 just by
418 just in 3411
just is 88 just
it 4343 just me
12195 just my 1319
just on 5708 just
or 48 just so
117 just the 8949
just to 15333 just
up 5358 just us
716 just at 52
just in 87 just
on 169 just at
65 just it 285
just my 82 just
the 1470 just of
134 just the 114
just an 50 just
in 205 just it
597 just my 83
just on 3753 just
the 734 just to
55 just in 60
just it 44 just
the 60 just up
101 just in 516
just my 103 just
the 67 just or
88 just at 42
just it 150 just
me 52 just my
222 just on 1871
just the 2245 just
up 6199 just to
222 just of 65
just to 15870 just
an 308 just as
194 just at 135
just by 450 just
in 4434 just is
91 just it 1214
just me 2917 just
my 1057 just of
95 just on 1923
just the 8573 just
to 43 just up
8689 just us 293
just an 116 just
by 1245 just in
47 just it 78
just me 277 just
my 61 just so
56 just the 759
just to 396 just
us 78 just an
45 just as 450
just be 72 just
by 133 just in
529 just is 167
just it 74 just
me 76 just of
17270 just or 184
just the 619 just
to 663 just us
61 just of 58
just to 117 just
on 73 just the
156 just of 183
just at 58 just
it 99 just or
390 just to 517
just as 130 just
at 41 just by
57 just in 359
just it 692 just
me 62 just my
2049 just on 116
just or 76 just
so 239 just the
5433 just to 961
just in 3684 just
it 64 just of
381 just the 1816
just to 1359 just
the 86 just in
980 just it 535
just me 112 just
of 2044 just on
484 just the 287
just to 230 just
up 117 just us
49 just in 42
just the 96 just
to 41 just me
103 just the 236
just us 45 just
in 131 just on
204 just or 71
just to 317 just
to 132 just on
431 just the 76
just if 144 just
in 2542 just it
509 just me 130
just my 411 just
on 3813 just the
1868 just to 3177
just up 2388 just
us 81 just if
133 just the 255
just to 428 just
up 44 just it
82 just me 100
just my 79 just
on 587 just the
162 just up 190
just in 42 just
in 97 just the
118 just the 65
just in 41 just
of 416 just me
51 just on 241
just to 61 just
up 279 just me
48 just at 122
just an 210 just
it 302 just my
48 just ok 67
just the 2894 just
to 2466 just an
71 just so 654
just the 588 just
to 369 just an
58 just as 200
just at 82 just
by 179 just in
40 just is 57
just me 55 just
the 489 just to
880 just in 40
just it 84 just
the 54 just of
616 just it 53
just the 478 just
in 85 just the
217 just it 42
just the 83 just
to 190 just as
1097 just at 161
just be 139 just
by 920 just he
153 just in 1590
just is 143 just
of 47668 just on
7295 just or 610
just the 118 just
to 11698 just up
45 just the 206
just by 70 just
it 781 just me
42 just my 166
just the 947 just
up 2905 just by
203 just in 67
just it 314 just
my 234 just of
601 just the 6859
just up 804 just
us 60 just or
40 just in 126
just it 43 just
on 1340 just the
513 just in 85
just on 291 just
the 81 just in
336 just on 302
just the 736 just
to 158 just up
1055 just up 134
just the 210 just
of 106 just an
294 just as 533
just at 501 just
by 275 just he
66 just in 2422
just is 291 just
it 787 just my
3653 just of 46
just on 1459 just
or 88 just so
144 just the 6533
just to 381 just
up 2304 just we
189 just to 368
just at 140 just
it 41 just on
54 just the 499
just up 286 just
in 186 just to
46 just of 247
just the 69 just
of 351 just up
53 just at 41
just on 136 just
an 62 just the
45 just at 48
just in 103 just
or 189 just up
52 just it 59
just the 157 just
the 64 just it
191 just my 43
just the 47 just
the 83 just to
183 just in 49
just or 164 just
to 121 just the
99 just it 42
just the 183 just
to 46 just in
290 just it 193
just my 67 just
on 77 just the
179 just to 58
just up 481 just
it 58 just the
43 just to 41
just up 89 just
an 41 just by
79 just in 95
just is 51 just
it 557 just my
48 just or 58
just the 965 just
to 342 just it
44 just of 2391
just the 918 just
it 51 just my
78 just on 616
just the 2049 just
to 79 just up
288 just as 87
just my 44 just
of 42 just the
313 just of 171
just in 148 just
is 189 just of
2066 just or 82
just to 442 just
it 278 just my
180 just the 3860
just up 1931 just
it 214 just my
65 just the 6086
just up 276 just
the 128 just up
245 just in 84
just me 226 just
up 45 just the
45 just to 2246
just up 360 just
the 52 just to
57 just in 136
just on 202 just
up 269 just the
54 just an 1081
just as 1137 just
at 155 just by
1579 just in 2240
just is 1652 just
it 409 just my
40 just on 1002
just or 273 just
so 358 just the
2195 just to 2061
just an 281 just
the 327 just of
51 just of 104
just in 53 just
is 42 just of
125 just the 79
just to 528 just
in 364 just on
113 just up 638
just in 43 just
me 57 just up
371 just the 364
just of 666 just
up 539 just it
102 just my 88
just the 5130 just
to 87 just of
197 just to 56
just by 72 just
in 176 just on
155 just the 191
just up 63 just
by 56 just in
98 just the 226
just up 45 just
the 54 just up
312 just up 47
just as 2018 just
at 41 just if
766 just in 47
just is 126 just
or 302 just to
2515 just in 54
just the 79 just
up 1755 just at
67 just me 89
just the 112 just
at 46 just in
493 just in 534
just the 131 just
to 252 just to
50 just if 41
just the 115 just
it 50 just the
99 just in 306
just on 132 just
the 157 just to
127 just up 98
just at 42 just
the 66 just in
134 just by 47
just in 327 just
it 112 just to
71 just up 244
just in 96 just
on 7711 just the
51 just in 57
just the 123 just
at 59 just he
109 just if 68
just in 69 just
it 238 just on
1013 just the 194
just to 7972 just
we 82 just it
69 just on 460
just the 82 just
to 1045 just the
47 just of 1347
just it 102 just
the 131 just the
89 just the 80
just the 56 just
the 141 just the
56 just the 101
just an 82 just
it 258 just the
818 just it 65
just the 400 just
of 3707 just it
50 just the 504
just the 253 just
it 979 just the
2062 just it 65
just the 287 just
an 54 just as
47 just by 174
just he 152 just
in 158 just is
273 just it 114
just of 5006 just
on 2345 just or
102 just the 159
just to 632 just
it 476 just so
49 just the 414
just to 110 just
it 66 just the
67 just the 113
just the 71 just
on 8210 just the
102 just the 56
just in 47 just
the 509 just in
159 just is 164
just of 3070 just
or 49 just the
51 just it 77
just of 446 just
the 210 just it
42 just of 1480
just or 89 just
the 43 just to
1722 just to 105
just the 82 just
of 116 just the
49 just an 64
just it 99 just
the 1058 just the
40 just of 325
just by 112 just
in 889 just on
111 just it 40
just the 80 just
at 112 just in
1225 just it 88
just my 120 just
the 167 just it
73 just me 198
just the 253 just
us 42 just to
350 just up 125
just of 380 just
or 42 just to
64577 just the 54
just by 610 just
it 270 just the
1752 just up 416
just by 43 just
the 302 just up
47 just to 62
just at 172 just
in 159 just it
71 just the 138
just of 91 just
it 100 just the
70 just the 112
just on 103 just
or 58 just to
267 just of 166
just to 12005 just
as 217 just in
313 just it 116
just my 103 just
of 419 just or
148 just the 6373
just to 108 just
up 410 just the
281 just as 54
just of 100 just
the 57 just the
75 just of 821
just in 52 just
it 207 just me
70 just my 63
just on 300 just
the 312 just the
103 just the 40
just it 41 just
the 50 just of
63 just it 45
just the 98 just
he 53 just it
755 just of 600
just the 219 just
up 1101 just up
45 just up 45
just in 48 just
the 75 just to
95 just up 602
just by 80 just
in 654 just on
304 just to 61
just in 198 just
on 97 just in
1041 just it 296
just my 66 just
tea 132 just the
220 just to 78
just it 100 just
in 90 just an
91 just by 1068
just in 2134 just
it 152 just me
132 just my 72
just on 354 just
the 1495 just to
643 just up 5609
just us 56 just
it 70 just me
1098 just on 56
just the 225 just
up 58 just us
68 just on 262
just on 78 just
to 48 just by
2121 just in 3206
just it 299 just
me 152 just my
64 just on 107
just the 864 just
to 275 just us
45 just in 164
just up 62 just
in 267 just my
68 just at 57
just by 86 just
in 1171 just it
693 just me 578
just my 197 just
on 1238 just the
1095 just us 127
just the 82 just
of 155 just on
507 just in 100
just an 51 just
by 102 just in
58 just the 202
just in 100 just
of 886 just the
62 just to 176
just in 97 just
to 214 just of
46 just to 65
just at 48 just
in 100 just of
292 just or 64
just me 92 just
the 191 just me
65 just the 83
just us 54 just
on 111 just of
1853 just the 67
just as 224 just
in 137 just as
5400 just at 503
just in 3868 just
is 78 just on
794 just or 174
just to 268 just
the 151 just my
42 just the 185
just it 75 just
me 98 just the
635 just us 266
just me 41 just
the 149 just us
72 just the 44
just the 46 just
it 572 just the
496 just it 84
just or 61 just
the 113 just in
172 just or 44
just as 93 just
by 71 just in
6998 just me 78
just on 156 just
the 294 just to
915 just in 57
just the 84 just
or 139 just an
108 just it 570
just my 613 just
the 7746 just it
312 just the 362
just as 689 just
at 870 just be
44 just by 671
just he 47 just
if 232 just in
9636 just is 868
just it 45 just
of 56258 just on
3622 just or 312
just sea 301 just
so 58324 just tea
73 just the 144
just to 365291 just
up 40 just the
96 just in 117
just the 137 just
the 81 just the
107 just an 342
just as 293 just
at 211 just by
52 just in 406
just is 52 just
it 868 just my
595 just on 14167
just or 487 just
the 33227 just to
103 just it 40
just the 1386 just
of 352 just the
138 just in 103
just or 83 just
the 12640 just the
157 just it 98
just the 253 just
the 83 just in
58 just in 112
just of 127 just
by 40 just me
50 just the 531
just to 137 just
by 83 just it
40 just the 983
just to 44 just
me 46 just the
46 just by 150
just he 45 just
in 112 just of
1577 just in 129
just of 402 just
on 222 just the
194 just the 41
just the 61 just
in 295 just of
57 just or 72
just by 44 just
in 61 just is
52 just the 109
just in 42 just
in 71 just the
755 just in 43
just the 50 just
the 79 just to
134 just be 43
just in 323 just
is 239 just it
54 just me 734
just of 456 just
or 151 just the
52 just to 778
just us 91 just
to 42 just as
222 just at 44
just in 833 just
on 97 just or
53 just to 42
just as 323 just
by 42 just in
294 just on 46
just to 109 just
the 872 just to
61 just it 57
just on 264 just
the 430 just to
47 just it 480
just me 541 just
the 528 just to
863 just us 149
just in 287 just
on 46 just the
104 just the 247
just the 232 just
it 120 just my
48 just the 821
just to 264 just
is 90 just of
2278 just in 86
just of 115 just
an 252 just as
110 just at 277
just by 98 just
in 3484 just it
61 just me 64
just my 104 just
of 842 just on
249 just or 49
just so 89 just
the 483 just to
13773 just us 46
just in 43 just
as 134 just at
298 just by 230
just in 8593 just
is 54 just on
2151 just or 63
just so 104 just
the 58 just to
2022 just is 121
just or 208 just
the 131 just in
124 just on 44
just it 42 just
the 113 just of
122 just on 594
just he 85 just
in 42 just of
1870 just or 169
just the 50 just
or 42 just it
47 just the 174
just of 277 just
an 45 just in
143 just it 129
just on 45 just
the 477 just to
571 just he 175
just if 128 just
in 196 just is
262 just it 1451
just of 661 just
on 237 just the
296 just to 244
just up 96 just
we 182 just it
204 just on 229
just the 66 just
to 54 just an
142 just at 160
just by 278 just
in 2420 just it
919 just me 336
just my 458 just
the 2957 just to
260 just up 3183
just it 43 just
the 113 just the
62 just the 108
just by 95 just
in 67 just it
847 just me 129
just my 918 just
the 1755 just up
2526 just us 71
just it 61 just
the 94 just up
151 just in 1227
just it 169 just
me 125 just my
115 just on 225
just the 948 just
to 1558 just up
340 just us 51
just on 58 just
in 41 just up
286 just up 53
just on 43 just
the 91 just it
42 just the 239
just by 88 just
in 1942 just on
1067 just or 52
just up 214 just
in 890 just on
322 just up 50
just he 40 just
the 70 just me
168 just in 215
just on 164 just
the 99 just in
44 just on 10151
just the 42 just
in 232 just it
191 just my 186
just the 195 just
up 1597 just an
85 just as 51
just in 545 just
it 1080 just me
4869 just my 3585
just on 395 just
the 19728 just up
460 just us 612
just by 73 just
in 44 just the
45 just the 65
just by 52 just
it 123 just me
200 just my 73
just on 204 just
or 57 just the
602 just to 679
just us 64 just
of 99 just the
147 just us 52
just the 161 just
on 50 just he
131 just it 15486
just me 293 just
my 209 just or
74 just the 5915
just to 1395 just
us 55 just we
194 just he 119
just it 989 just
me 77 just my
201 just or 72
just the 638 just
to 5036 just we
45 just or 81
just the 61 just
an 529 just as
174 just at 245
just by 720 just
in 2037 just is
188 just it 68
just my 43 just
of 99 just on
252 just or 83
just the 1115 just
to 343 just up
105 just an 192
just at 126 just
in 369 just it
144 just my 80
just on 258 just
so 233 just the
889 just to 351
just up 66 just
the 40 just by
73 just in 123
just the 93 just
me 238 just in
221 just it 85
just on 116 just
the 175 just to
148 just up 1020
just the 54 just
to 57 just to
121 just to 40
just the 125 just
on 268 just in
549 just on 42
just to 63 just
of 3132 just it
59 just me 225
just my 71 just
the 94 just up
2008 just by 44
just my 76 just
the 130 just at
249 just on 43
just up 41 just
in 58 just is
42 just an 370
just at 111 just
by 291 just in
318 just it 157
just my 49 just
of 51 just so
69 just the 2385
just to 71 just
me 44 just on
92 just or 53
just at 47 just
up 64 just at
48 just in 414
just my 96 just
the 268 just to
65 just up 333
just the 52 just
up 41 just at
265 just at 57
just in 56 just
of 59 just at
53 just the 179
just at 21102 just
in 402 just up
216 just at 1947
just in 154 just
up 324 just at
5876 just up 124
just at 345 just
by 60 just in
102 just up 51
just in 51 just
at 45 just it
93 just up 346
just up 60 just
up 40 just it
46 just the 41
just on 103 just
or 107 just an
743 just as 117
just at 73 just
by 114 just in
3934 just it 807
just me 207 just
my 1430 just on
1385 just so 755
just the 4175 just
to 3830 just up
7516 just us 72
just the 41 just
at 215 just it
98 just the 413
just up 40 just
of 111 just at
603 just the 270
just on 57 just
on 171 just by
199 just it 241
just me 335 just
my 810 just on
43 just the 2517
just it 45 just
the 2262 just in
63 just or 47
just up 40 just
the 104 just it
86 just the 57
just to 43 just
at 216 just me
55 just the 85
just on 273 just
to 59 just on
68 just at 60
just in 366 just
is 126 just it
100 just me 56
just of 34684 just
on 543 just or
251 just the 144
just to 5834 just
up 70 just of
2340 just the 181
just as 101 just
at 743 just in
47 just it 53
just on 127 just
or 126 just the
203 just in 55
just by 149 just
me 59 just the
93 just to 117
just of 343 just
it 113 just the
44 just the 86
just of 421 just
it 47 just as
53 just at 117
just by 41 just
in 103 just on
121 just the 88
just to 91 just
the 47 just it
74 just on 108
just the 85 just
an 49 just in
1940 just it 1606
just me 4245 just
my 200 just on
104 just the 1817
just to 2641 just
up 119 just us
352 just it 668
just the 641 just
it 92 just of
403 just the 443
just on 42 just
as 1381 just at
529 just by 5764
just if 176 just
in 5192 just is
128 just of 245
just on 1889 just
or 409 just so
386 just the 87
just to 74128 just
to 1168 just the
52 just of 2264
just to 297 just
in 414 just it
111 just me 62
just the 152 just
to 44 just up
512 just me 66
just of 197 just
or 129 just of
479 just by 47
just in 93 just
it 138 just me
1576 just my 104
just the 649 just
to 2117 just us
323 just the 48
just of 44 just
by 734 just in
318 just it 156
just or 58 just
the 178 just in
77 just or 46
just up 115 just
as 164 just at
9021 just by 73
just in 119 just
of 62 just to
305 just at 116
just up 131 just
it 45 just the
69 just at 100
just if 127 just
of 389 just to
2294 just to 76
just of 128 just
it 103 just on
470 just the 155
just up 1229 just
at 63 just in
531 just on 902
just the 64 just
up 354 just of
159 just to 95
just at 250 just
in 308 just of
1420 just on 41
just the 44 just
the 106 just of
114 just at 48
just in 435 just
on 364 just at
58 just in 53
just it 91 just
me 805 just my
80 just the 291
just in 46 just
the 112 just to
90 just me 673
just the 74 just
at 152 just the
78 just on 41
just to 142 just
up 125 just an
90 just it 8726
just me 1449 just
my 261 just or
183 just the 8053
just us 503 just
it 638 just me
294 just my 43
just the 962 just
us 89 just in
185 just of 1370
just on 200 just
or 107 just to
80 just on 298
just the 74 just
to 54 just the
43 just on 107
just on 52 just
it 87 just of
411 just the 231
just it 57 just
on 48 just the
75 just on 91
just the 54 just
in 1048 just of
248 just to 551
just or 44 just
as 677 just in
85 just the 132
just me 175 just
my 50 just the
480 just us 102
just an 51 just
it 43 just the
82 just it 44
just the 115 just
the 59 just the
64 just at 71
just in 41 just
of 2474 just on
97 just the 41
just to 42 just
to 49 just an
116 just it 253
just the 1342 just
an 590 just as
237 just at 133
just by 62 just
he 53 just in
179 just is 228
just it 2544 just
me 99 just my
1253 just of 7371
just on 318 just
or 1064 just so
44 just the 274856
just to 453 just
on 562 just of
394 just me 125
just to 748 just
of 322 just on
843 just the 44
just the 55 just
the 50 just an
79 just it 110
just the 188 just
the 227 just in
482 just the 85
just me 199 just
the 447 just us
97 just me 90
just the 150 just
my 44 just the
324 just the 116
just of 87 just
an 1811 just as
122 just at 124
just by 4776 just
in 759 just is
214 just it 47
just my 61 just
of 94 just on
316 just or 106
just the 1576 just
to 618 just of
1051 just the 63
just to 201 just
as 130 just in
67 just to 53
just the 45 just
up 88 just in
172 just it 99
just my 47 just
the 115 just up
69 just he 66
just of 2853 just
or 73 just at
70 just it 75
just my 51 just
the 170 just in
103 just the 64
just on 166 just
an 254 just as
309 just at 69
just by 117 just
in 1770 just it
244 just me 444
just my 260 just
on 51 just or
52 just the 18995
just to 220 just
up 1213 just us
2713 just it 58
just it 41 just
the 43 just to
46 just in 166
just of 388 just
to 43 just the
50 just at 585
just in 3434 just
me 83 just on
2872 just the 424
just to 880 just
up 3340 just up
84 just of 63
just at 94 just
in 890 just it
497 just me 916
just my 202 just
on 114 just the
1391 just to 56
just up 485 just
us 96 just an
755 just as 149
just at 135 just
by 750 just in
921 just is 200
just it 469 just
me 1115 just my
1378 just on 125
just or 167 just
so 43 just the
3048 just to 134
just up 157 just
us 305 just by
111 just it 95
just me 1190 just
my 242 just the
748 just me 67
just the 151 just
in 43 just at
143 just it 53
just on 370 just
the 208 just me
321 just on 55
just the 110 just
the 74 just of
83 just the 62
just to 129 just
the 959 just the
70 just an 216
just as 157 just
at 3877 just by
103 just in 12311
just is 50 just
it 49 just me
51 just my 123
just on 10632 just
or 191 just the
733 just to 229
just us 65 just
by 42 just it
224 just up 190
just in 66 just
or 44 just the
90 just to 40
just to 50 just
on 83 just at
66 just by 89
just he 419 just
in 183 just it
186 just on 51
just the 243 just
to 210 just we
97 just at 3653
just in 61 just
it 78 just so
42 just the 84
just to 145 just
up 41 just as
100 just at 1358
just in 108 just
it 182 just an
46 just it 44
just the 227 just
of 400 just in
131 just of 288
just an 269 just
as 368 just at
428 just by 1205
just he 852 just
in 4533 just is
659 just it 1635
just my 278 just
of 7877 just on
336 just or 223
just so 277 just
the 5961 just to
14991 just via 54
just we 113 just
at 101 just it
85 just the 124
just the 68 just
of 46 just the
51 just of 384
just in 45 just
it 117 just my
91 just the 252
just up 46 just
an 114 just by
98 just in 43
just it 505 just
me 314 just my
515 just the 2092
just to 210 just
up 1910 just it
53 just my 51
just the 674 just
up 603 just in
49 just on 40
just up 365 just
to 696 just it
56 just the 163
just be 99 just
by 290 just in
131 just of 7309
just on 183 just
the 379 just to
700 just in 92
just on 210 just
by 40 just the
53 just to 478
just up 254 just
as 1556 just by
172 just do 228
just in 624 just
is 882 just it
141 just on 129
just or 137 just
so 42 just the
618 just to 378
just we 59 just
as 583 just at
362 just if 105
just in 888 just
on 42 just or
206 just the 54
just to 36737 just
up 113 just of
46 just by 110
just me 111 just
in 138 just is
42 just it 128
just me 40 just
my 91 just on
156 just the 465
just to 65 just
up 435 just it
105 just me 90
just the 58 just
to 148 just it
40 just the 42
just the 69 just
it 85 just the
396 just the 199
just in 786 just
it 262 just me
164 just my 112
just on 180 just
the 1179 just up
2245 just us 88
just in 125 just
in 546 just on
504 just or 50
just an 44 just
as 2688 just at
276439 just in 11342
just it 988 just
me 671 just my
165 just on 5850
just so 4577 just
the 1346 just to
769 just up 18871
just us 97 just
up 153 just the
57 just by 47
just the 55 just
it 126 just my
79 just the 417
just up 783 just
the 54 just in
138 just as 93
just if 52 just
in 203 just of
190 just on 67
just to 797 just
of 120 just the
434 just the 127
just in 141 just
it 41 just in
49 just in 169
just it 178 just
me 70 just my
50 just the 223
just to 213 just
an 44 just as
45 just by 79
just in 55 just
it 1018 just my
40 just on 307
just the 726 just
to 13778 just it
90 just the 739
just to 7562 just
as 48 just by
180 just in 674
just is 57 just
of 1318 just so
47 just the 216
just to 338 just
the 45 just to
58 just in 273
just on 118 just
to 162 just up
172 just an 49
just as 387 just
by 398 just in
161 just it 143
just on 328 just
the 641 just to
41 just up 46
just me 69 just
the 68 just at
479 just by 221
just the 44 just
of 1036 just of
233 just the 147
just to 140 just
the 479 just in
245 just of 6312
just or 154 just
to 149 just of
296 just as 44
just by 258 just
in 760 just is
345 just it 190
just of 21197 just
on 283 just or
354 just the 1408
just to 778 just
up 48 just it
59 just the 839
just in 46 just
by 111 just in
791 just is 280
just of 662 just
to 182 just of
60 just at 72
just by 61 just
in 942 just me
58 just my 67
just on 88 just
the 127 just of
154 just of 342
just or 133 just
the 63 just or
73 just an 309
just as 258 just
at 83 just by
91 just in 1494
just it 2760 just
me 42 just my
538 just of 202
just the 5911 just
to 784 just an
175 just as 208
just by 127 just
in 77 just the
308 just to 357
just in 111 just
of 547 just it
106 just up 2494
just it 43 just
up 115 just of
1474 just to 196
just of 120 just
in 171 just on
43 just the 133
just the 77 just
my 133 just the
238 just of 85
just by 47 just
the 138 just an
900 just as 42
just at 102 just
by 831 just en
45 just in 233
just it 4012 just
me 1463 just my
1796 just of 165
just on 281 just
or 116 just the
16687 just us 701
just an 63 just
in 41 just it
258 just me 109
just my 61 just
the 2756 just me
57 just the 82
just of 744 just
to 41 just it
95 just the 917
just to 45 just
it 60 just the
248 just up 335
just of 46 just
or 81 just of
207 just of 270
just or 47 just
to 327 just of
461 just on 97
just the 640 just
to 179 just up
100 just the 80
just the 206 just
on 173 just the
47 just the 45
just to 54 just
to 170 just on
90 just the 59
just of 84 just
the 50 just up
102 just as 213
just in 54 just
or 66 just to
183 just at 45
just it 161 just
me 62 just on
53 just the 166
just to 159 just
up 90 just it
46 just the 89
just as 144 just
at 92 just in
161 just of 2332
just to 47 just
an 998 just in
58 just it 329
just me 334 just
my 259 just the
3288 just to 43032
just the 84 just
the 40 just to
182 just to 113
just or 48 just
at 184 just on
422 just at 235
just on 65 just
in 71 just it
89 just me 112
just my 134 just
the 490 just in
234 just me 52
just the 91 just
at 282 just in
104 just to 154
just an 51 just
as 2221 just at
1435 just in 2756
just my 1530 just
or 162 just so
223 just to 1752
just in 226 just
or 82 just to
191 just an 69
just as 82 just
if 53 just in
300 just it 657
just me 49 just
of 371 just the
1660 just it 283
just the 691 just
me 47 just the
257 just as 208
just in 206 just
of 16058 just on
2412 just it 64
just me 49 just
the 105 just of
2925 just the 123
just the 79 just
the 185 just in
42 just of 7983
just to 847 just
me 394 just an
47 just the 257
just to 209 just
the 296 just at
102 just in 153
just is 52 just
on 40 just to
4003 just an 210
just at 95 just
it 110 just me
124 just my 102
just the 335 just
to 481 just up
72 just us 46
just an 57 just
the 114 just to
52 just on 78
just by 2644 just
the 1719 just the
148 just of 346
just in 286 just
an 1440 just as
487 just at 1819
just by 818 just
in 10385 just is
177 just it 1868
just me 75 just
my 2594 just on
3061 just or 172
just so 61 just
the 13955 just to
2307 just up 16393
just in 107 just
as 892 just by
110 just in 187
just is 160 just
of 11297 just on
1658 just or 145
just it 45 just
the 156 just the
108 just of 1206
just the 162 just
of 664 just the
57 just to 153
just us 60 just
of 93 just of
389 just the 77
just the 319 just
the 70 just the
73 just it 46
just of 324 just
in 390 just it
338 just my 416
just the 223 just
to 41 just up
5964 just in 98
just in 69 just
it 79 just or
55 just the 324
just the 75 just
to 70 just me
63 just of 473
just at 93 just
by 63 just in
1025 just it 225
just my 175 just
on 325 just the
484 just the 116
just as 71 just
at 59 just by
67 just in 510
just the 230 just
to 159 just to
123 just an 1632
just as 1154 just
at 510 just be
69 just by 8198
just he 249 just
in 8249 just is
1013 just it 2414
just me 1660 just
my 2326 just of
207 just on 7239
just or 370 just
so 297 just the
21627 just to 1376
just up 1204 just
us 1790 just we
214 just by 301
just in 49 just
it 173 just me
45 just on 199
just the 1428 just
us 64 just in
179 just it 50
just on 339 just
the 81 just up
47 just the 47
just up 433 just
the 68 just me
411 just my 374
just the 195 just
at 96 just in
480 just on 151
just to 482 just
to 205 just at
