ian . 41 ian
4014 in . 3126
in . 80 in
. 142 in .
640 in . 1090
in . 55 in
. 466 in .
205 in . 815
in ! 10262 in
. 341 in !
6271 in . 74
in . 63 in
. 289 in .
1153 in . 138
in . 88 in
. 350 in .
427 in . 4746
in . 213 in
. 816 in .
150 in . 75
in . 292 in
. 44 in .
370 in . 90
in . 276 in
. 1015 in .
1182 in . 4654
in ! 43920 in
! 290585 in .
119 in ! 16148
in . 69 in
! 32860 in .
89 in ! 110054
in . 244 in
. 5649 in .
378 in . 159
in . 103 in
. 324 in .
1746 in . 54
in . 417 in
. 85 in .
385 in . 88
in . 102 in
. 79 in .
260 in . 47
in . 137 in
! 419247 in .
169 in ! 10384
in . 63 in
. 147 in .
409 in . 1033
in . 94 in
. 131 in .
145 in . 3925
in . 318 in
. 235 in .
11041 in . 530
in ! 1199098 in
. 77 in .
860 in . 222
in . 55 in
! 82480 in .
96 in . 152
in . 189 in
. 285 in .
134 in . 115
in . 106 in
. 132 in .
426 in ! 114410
in . 446 in
! 9269 in .
261 in . 148
in . 634 in
. 1081 in .
2593 in . 54
in . 42 in
. 81 in .
71 in . 1069
in . 252 in
. 40 in .
532 in . 229
in . 641 in
. 514 in .
177 in . 114
in . 10424 in
. 112 in .
615 in . 86
in . 53949 in
. 1172 in .
292 in . 179
in . 67 in
. 62 in .
554 in . 4387
in . 88 in
. 51 in .
90 in . 2928
in . 118 in
. 116 in .
96 in . 4139
in . 68 in
. 3661 in .
3319 in . 53
in . 149 in
. 128 in .
391 in . 159
in . 82 in
! 17307 in .
359 in . 1062
in . 373 in
. 47 in .
131 in . 221
in . 120 in
. 1667 in .
87 in . 2917
in . 181 in
! 80080 in .
1106 in . 617
in . 2428 in
. 248 in .
136 in . 3006
in . 1471 in
. 600 in .
1632 in . 1816
in . 1363 in
. 654 in .
856 in . 213
in . 196 in
. 318 in .
49 in . 85
in . 54 in
. 3393 in .
82 in . 367
in . 61 in
. 88 in .
93 in . 113
in . 102 in
. 44 in .
114 in . 73
in . 10379 in
. 164 in .
418 in . 180
in . 116 in
. 218 in .
83 in . 46
in . 389 in
. 604 in .
380 in . 58
in . 64 in
. 181 in .
232 in ! 8370
in . 95 in
. 2681 in .
872 in . 129
in . 72 in
. 42 in .
1173 in . 106
in . 146 in
. 56 in .
6723 in . 93
in . 83 in
. 46 in .
139 in . 437
in ? 41 in
. 41 in .
371 in . 246
in . 488 in
. 236 in .
59 in . 172
in . 748 in
. 157 in .
900613 in . 141
in . 77 in
. 172 in .
156 in . 152
in . 176 in
. 367 in .
60 in . 653
in . 131 in
. 65 in .
394 in . 917
in . 110 in
. 57 in .
2438 in . 1385
in ! 47147 in
! 7108 in .
1334 in . 405
in . 139 in
. 402 in .
76 in . 75
in . 144 in
. 290 in .
84 in . 93
in . 45 in
. 148 in .
49 in . 119
in . 84 in
. 57 in .
88 in . 68
in . 1528 in
. 53 in .
53 in . 170
in . 69 in
. 130 in .
192 in . 50
in . 175 in
. 98 in .
495 in . 88
in . 158 in
. 55 in .
98 in . 54
in . 322 in
. 64 in .
275 in . 97
in . 417 in
. 49 in .
271 in . 218
in . 169 in
. 1043 in .
789 in . 81
in . 64 in
. 165 in .
120 in . 105
in . 48 in
. 63 in .
260 in . 71
in . 590 in
. 183 in .
84 in . 122
in ! 2188342 in
. 480 in .
353 in . 124
in . 694 in
. 415 in .
120 in . 107
in . 139 in
. 2331 in .
72 in . 342
in . 52 in
. 1347 in .
249 in . 419
in . 2171 in
. 878 in .
3062 in . 512
in . 138 in
. 121 in .
150 in . 89
in . 47 in
. 231 in .
137 in . 64
in . 1822 in
. 611 in .
76 in . 174
in ! 877 in
. 65 in .
82 in . 42
in . 116 in
. 1227 in .
57 in ! 161461
in ! 202520 in
. 380 in .
149 in . 156
in . 51 in
. 525 in .
1026 in . 234
in . 336 in
. 1488 in .
104 in ! 70954
in . 155 in
. 919 in .
226 in . 1981
in . 61 in
. 230 in .
1603 in . 88
in . 50 in
. 839 in .
159 in . 74
in . 136 in
. 67 in .
50 in . 62
in . 72 in
. 87 in .
1451 in . 357
in . 48 in
. 1083 in .
294 in . 76
in . 301 in
. 96 in .
116 in . 285
in . 137 in
. 169 in .
180 in . 414
in . 389 in
. 158 in .
222 in . 132
in . 85 in
. 53 in .
291 in . 156
in . 3000 in
. 49 in .
89 in . 143
in . 1753 in
. 46 in .
130 in ! 809434
in . 64 in
. 524 in .
54 in . 720
in . 111 in
. 667 in .
1337 in . 525
in . 301 in
. 181 in .
187 in ! 18904
in . 244 in
. 71 in !
92626 in . 115
in . 624 in
. 1413 in .
49 in . 38031
in . 256 in
! 11382 in .
120 in . 94
in . 155 in
. 643 in .
8943 in . 48
in . 204 in
! 80021 in .
50 in . 4075
in . 106 in
. 4186 in .
189 in . 54
in . 105 in
. 1730 in .
255 in . 96
in . 91 in
. 91 in .
53 in . 49
in . 131 in
. 118 in .
48 in . 4807
in ! 28029 in
. 83 in .
63 in ! 16830
in . 66 in
. 87 in !
6616 in . 292
in . 1394 in
. 145 in .
10947 in . 693
in . 17932 in
. 137 in .
45 in . 208
in . 306 in
. 257 in .
476 in . 78
in . 61 in
. 187 in .
259 in . 239
in . 1211 in
. 502 in .
79 in . 1037
in ! 24612 in
. 8498 in .
1965 in . 339
in . 1235 in
. 208 in .
65 in . 96
in . 873 in
. 116 in .
282 in ! 324330
in . 385 in
! 366868 in .
1281 in . 391
in . 520 in
. 864 in .
1563 in . 1442
in . 1935 in
. 109 in .
234 in . 313
in . 124 in
. 79 in .
161 in . 98
in . 320 in
. 166 in .
127 in . 897
in . 431 in
. 6770 in .
428 in . 8564
in . 236 in
. 298 in .
213 in . 289
in . 79 in
. 676 in .
452 in . 123
in . 1004 in
. 162 in .
159 in . 47
in . 157 in
. 482 in .
109 in . 120
in . 68 in
. 199 in .
82 in . 52
in . 99 in
. 55 in .
262 in . 1659
in . 61 in
. 54 in .
43 in . 1844
in . 126 in
. 76 in .
272 in . 229
in . 79 in
. 134 in .
1548 in . 83
in . 118 in
. 842 in .
110 in . 909
in . 137 in
. 122 in .
223 in . 77
in ! 71400 in
. 61 in .
162 in . 135
in . 138 in
. 215 in .
86 in . 290
in . 1130 in
. 143 in .
97 in . 1101
in . 179 in
. 60 in .
140 in . 245
in . 141 in
. 4743 in .
453 in . 5068
in ! 25615 in
. 101 in .
90 in . 333
in . 768 in
. 53 in !
628630 in . 236
in . 154 in
. 109 in .
1616 in . 448
in . 767 in
. 539 in .
238 in . 117
in . 184 in
. 111 in .
198 in . 106
in . 1492 in
. 569 in .
417 in . 99
in . 358 in
. 1022 in .
420 in . 51
in . 49 in
. 482 in .
496 in . 373
in . 5096 in
. 128 in .
195 in . 170
in . 169 in
. 73 in .
73 in . 99
in . 81 in
. 283 in .
51 in . 1371
in . 579 in
. 266 in .
346 in . 1465
in . 249 in
. 737 in .
263 in . 282
in . 79 in
. 83 in .
96 in ! 329672
in . 65 in
. 49 in .
426 in . 76
in . 82 in
. 80 in .
51 in . 202
in ? 101 in
. 204 in .
149 in . 171
in . 1242 in
. 186 in .
161 in . 404
in . 220 in
. 87 in .
871 in . 106
in . 126 in
. 281 in .
327 in . 114
in . 244 in
. 472 in .
532 in . 78
in . 1782 in
. 505 in .
333 in . 2328
in ! 6897 in
. 94 in .
94 in . 576
in . 129 in
. 269 in .
75 in . 72
in . 44 in
. 130 in .
48 in . 458
in . 565 in
. 162 in .
50 in . 101
in . 157 in
. 41 in .
130 in . 108
in . 1969 in
. 95 in .
2090 in . 78
in . 765 in
. 462 in .
976 in . 90
in . 49 in
! 97749 in .
1116 in . 509
in . 240 in
. 449 in .
2755 in . 671
in ! 46382 in
. 121 in .
113 in . 106
in . 350 in
. 351 in !
6610 in . 157
in . 204 in
. 61 in !
9006 in . 97
in ! 29463 in
. 407 in .
99 in . 72
in . 861 in
. 438 in .
3374 in . 121
in . 560 in
. 1747 in .
12816 in . 1048
in . 41 in
. 406 in .
218 in . 462
in . 300 in
. 58 in .
358 in . 58
in . 443 in
. 221 in .
31153 in . 46
in . 278 in
. 60 in .
1279 in . 1068
in . 52 in
. 110 in !
495 in . 550
in . 96 in
. 974 in .
851 in . 100
in . 239 in
. 2584 in .
11658 in . 786
in . 165 in
. 175 in !
4529 in . 76
in . 1978 in
. 113 in .
96 in . 241
in . 359 in
. 279 in .
62 in . 67
in . 139 in
. 7613 in .
1674 in . 103
in . 128 in
. 4134 in .
392 in . 118
in . 209 in
. 2768 in .
148 in . 112
in . 61 in
. 207 in .
260 in . 47
in ! 2063922 in
. 1030 in !
21222 in . 75
in . 121 in
. 201 in .
89 in . 200
in . 48 in
. 265 in !
4104 in . 107
in . 462 in
. 502 in .
203 in . 931
in . 85 in
. 151 in .
354 in . 123
in . 152 in
. 193 in .
59 in . 384
in . 1587 in
. 400 in .
140 in . 350
in . 200 in
. 52 in .
242 in . 164
in . 150 in
. 130 in .
102 in ! 7586
in ! 6863 in
! 3897702 in .
46 in . 5025
in . 108 in
. 47 in .
250 in . 80
in . 231 in
. 1246 in .
623 in . 121
in . 92 in
. 52 in .
503 in . 953
in ! 34865 in
! 1708 in !
18678 in . 183
in . 48 in
. 133 in !
589140 in . 121
in . 94 in
. 60 in .
345 in . 1234
in . 1140 in
. 1933 in .
102 in . 244
in . 5279 in
. 1277 in .
220 in . 644
in . 326 in
. 938 in .
772 in . 630
in . 5471 in
. 11724 in .
83 in . 848
in . 77 in
. 24540 in .
564 in . 76
in ! 102136 in
. 2565 in .
137 in . 243
in . 58 in
. 106 in .
104 in . 116
in . 660 in
. 46435 in .
19263 in . 73
in . 1638 in
. 1627 in .
58 in . 52
in ? 382 in
. 371 in .
41 in . 1702
in ! 30373 in
. 845 in .
107 in . 6054
in . 884 in
. 66 in .
392 in . 1374
in . 5952 in
. 186 in .
126 in . 222
in . 98 in
. 129 in .
97 in . 42
in . 115 in
. 1402 in .
378 in . 2830
in . 205 in
. 2788 in .
66 in . 49
in . 69 in
! 8838 in .
277 in . 56
in . 1908 in
. 127 in .
1381 in . 192
in . 97 in
. 256 in .
1628 in . 79
in . 275 in
. 115 in .
97 in . 1260
in ! 15265 in
. 141 in .
60 in . 231
in . 8293 in
. 330 in .
323 in . 770
in ! 1771534 in
! 4780 in .
769 in . 130
in . 111 in
. 59 in .
111 in . 2853
in . 1617 in
. 178 in .
84 in . 118
in . 65 in
. 104 in .
1102 in . 92
in . 584 in
. 50 in !
84689 in . 247
in . 974 in
. 48 in .
138 in . 202
in . 72 in
. 243 in .
212 in . 75
in ! 15914 in
. 227 in .
114 in . 466
in . 302 in
. 126 in .
51 in . 329
in . 489 in
. 3895 in .
473 in . 45
in . 6513 in
. 112 in .
75 in . 92
in ! 8096 in
. 80 in .
61 in . 152
in . 201 in
. 176 in .
1916 in . 3661
in . 48 in
. 2766 in .
366 in . 46
in . 51 in
. 45 in .
87 in . 640
in . 3505 in
. 3317 in .
172 in . 63
in . 209 in
. 1224 in .
6610 in . 419
in ! 10161 in
. 1315 in .
76 in . 153
in . 81 in
. 99 in .
174 in . 401
in . 454 in
. 100 in .
49 in . 86
in . 695 in
. 139 in .
50 in . 112
in . 255 in
. 325 in .
125 in . 666
in . 84 in
. 424 in .
2871 in ! 5488
in . 115 in
. 3970 in .
49 in . 712
in ! 13386 in
. 45 in .
238 in . 19343
in . 12538 in
. 60 in .
268 in . 510
in . 1487 in
. 57 in .
464 in . 151
in . 374 in
. 629 in .
303 in . 372
in . 81 in
. 942 in .
417 in . 11838
in . 398 in
. 884 in .
248 in . 50
in . 1631 in
. 450 in !
43001 in . 331
in . 10096 in
. 208 in .
1358 in ! 2345
in . 9289 in
. 819 in !
1138 in . 545
in ! 19737 in
. 455 in .
48 in ! 3029
in . 1827 in
. 138 in .
88 in . 96
in . 7491 in
! 5974 in .
216 in . 198
in . 1377 in
! 53918 in .
239 in . 710
in . 3325 in
. 99 in .
4207 in . 1908
in . 86268 in
. 10345 in .
649 in ! 2539
in . 556 in
. 63 in .
149 in . 5553
in . 3329 in
. 156 in .
155 in . 78
in . 62 in
. 274 in .
68 in . 77
in . 196 in
. 189 in .
74 in . 105
in . 202 in
. 139 in .
221 in . 629
in . 76 in
. 168 in .
52 in . 189
in . 167 in
. 2904 in !
199574 in . 10810
in . 101 in
. 4595 in .
384 in . 1019
in . 203 in
. 247 in .
73 in . 791
in . 19902 in
. 1352 in .
272 in . 406
in . 84 in
. 121 in .
302 in . 141
in . 152 in
. 47 in .
193 in . 109
in . 68 in
. 763 in .
600 in . 614
in . 702 in
. 357 in .
293 in . 1526
in . 1448 in
. 514 in .
342 in . 117
in . 297 in
. 663 in .
494 in . 1386
in . 6998 in
. 52 in .
1512 in . 1701
in . 160 in
. 73 in .
196 in ! 4484
in . 42 in
. 115 in .
159 in . 69
in . 86 in
. 65 in .
189 in . 57
in . 1153 in
. 114 in .
57 in ! 80643
in . 187 in
. 1602 in !
377882 in . 50
in . 98 in
. 102 in .
100 in . 242
in . 483 in
. 78 in .
528 in . 92
in . 160 in
. 897 in .
89 in . 1138
in ! 166241 in
. 6423 in .
330 in . 2690
in . 127 in
. 4199 in .
196 in . 113
in . 52 in
. 582 in !
3988862 in ! 234505
in . 63 in
. 182 in .
70 in . 56590
in . 2200 in
. 453 in .
759 in ! 773
in . 254 in
. 116 in .
5427 in . 306
in . 72 in
! 5758 in .
3364 in . 100
in . 455 in
. 83 in .
61 in ! 18485
in . 113 in
. 233 in .
194 in . 405
in . 1204 in
. 488 in .
2652 in . 87
in . 1861 in
. 462 in .
885 in . 90
in . 1171 in
. 91 in .
376 in . 4392
in . 41 in
. 68 in .
698 in . 94
in . 6055 in
. 2780 in .
489 in . 1163
in . 53 in
. 100 in .
656 in . 101
in . 143 in
. 2332 in .
171 in . 155
in . 159 in
. 274 in .
441 in . 428
in . 153 in
. 90 in .
2950 in . 2110
in . 875 in
. 2658 in .
301 in ! 40144
in . 2052 in
. 172 in .
115 in . 51
in ! 1340 in
. 330 in !
10770 in . 508
in . 110 in
. 316 in .
425 in . 138
in . 140 in
. 55 in .
101 in . 5515
in ! 12271 in
. 225 in .
103 in . 2319
in . 147 in
. 47 in .
567 in ! 22534
in . 537 in
. 5766 in .
369 in . 101
in . 84 in
. 293 in .
70 in . 548
in . 81 in
. 2755 in .
57 in . 143
in . 84 in
. 126 in .
158 in . 1949
in . 70 in
. 368 in .
50 in . 51
in . 48 in
. 92 in .
266 in ! 15820
in . 3673 in
. 666 in .
582 in . 135
in . 88 in
. 2416 in .
82 in . 44
in . 427 in
. 99 in .
98 in . 429
in . 75 in
. 338 in .
240 in . 219
in . 296 in
. 427 in .
995 in . 446
in . 136 in
. 86 in .
51 in . 64
in . 284 in
. 992 in .
216 in . 9758
in . 217 in
. 126 in .
58 in . 169
in . 2583 in
. 157 in .
495 in . 158
in . 218 in
. 522 in .
51 in . 43
in . 257 in
. 81 in .
616 in . 234
in . 387 in
. 131 in .
1108 in . 69
in . 191 in
! 175576 in .
2476 in . 384
in . 142 in
. 1112 in .
2490 in . 92
in . 87 in
. 5340 in .
1332 in . 153
in . 891 in
. 349 in .
56 in . 63
in . 76 in
. 589 in .
21312 in . 79
in . 116 in
. 677 in .
116 in . 1029
in . 53 in
. 56 in .
339 in . 46
in . 201 in
. 56 in .
164 in . 91
in . 221 in
. 549 in .
4630 in ! 579716
in . 85 in
. 2258 in .
53 in . 131
in . 845 in
. 53 in .
331 in . 110
in . 63 in
. 49 in .
42 in . 420
in . 565 in
. 770 in .
229 in . 2099
in . 10572 in
. 59 in .
51 in . 136
in . 9589 in
! 5598 in .
332 in . 152
in . 112 in
. 59 in .
185 in . 56
in . 78 in
! 17040 in .
165 in . 75
in . 581 in
. 540 in .
198 in . 120
in . 178 in
. 90 in .
169 in . 131
in . 315 in
. 139 in !
5128 in . 398
in . 680 in
. 72 in .
516 in . 766
in . 55 in
. 249 in .
179 in . 115
in . 165 in
. 46 in .
53 in . 89
in . 753 in
. 127 in .
89 in . 540
in . 118 in
. 437 in .
66 in . 125
in . 59 in
. 180 in .
78 in . 294
in . 60 in
. 130 in .
3486 in . 54
in ! 14590 in
. 443 in .
425 in . 462
in . 410 in
. 81 in .
804 in . 65
in ! 6063 in
. 225 in .
3360 in . 334
in . 13847 in
! 43611 in .
178 in . 266
in . 41 in
. 314 in .
1316 in . 185
in . 291 in
. 153 in .
142 in . 588
in . 74 in
. 136 in .
108 in . 58
in . 97 in
. 181 in .
86 in . 60
in . 48 in
. 244 in .
345 in . 11134
in . 1533 in
. 3597 in .
164 in . 79
in . 147 in
. 221 in .
3313 in . 775
in . 98 in
. 612 in .
161 in . 399
in . 6350 in
. 323 in .
137 in . 64
in . 1096 in
. 163 in .
203 in . 360
in . 101 in
. 1213 in .
1022 in . 179
in . 60 in
. 1326 in .
9632 in . 340
in . 815 in
. 268 in .
152 in . 161
in . 116 in
. 65 in .
136 in . 2502
in . 611 in
. 1308 in .
74 in . 246
in . 133 in
. 721 in .
220 in . 92
in . 244 in
. 4106 in .
55 in . 47
in . 102 in
. 130 in .
296 in . 53
in . 155 in
. 61 in .
87 in . 44857
in . 55 in
! 36850 in .
67 in . 114
in . 183 in
. 667 in .
1060 in . 282
in . 178 in
. 246 in .
81 in . 290
in . 177 in
. 115 in .
55 in . 83
in . 42 in
. 55 in .
69 in . 11725
in . 177 in
. 143 in .
40 in . 58
in . 342 in
. 112 in .
111 in . 503
in . 1926 in
. 3495 in .
48 in . 405
in . 2625 in
. 69 in .
1066 in . 1755
in . 92 in
. 190 in .
64 in . 409
in . 535 in
. 554 in .
1498 in . 2240
in . 966 in
. 75 in .
416 in . 44
in . 90 in
. 138 in .
324 in . 2495
in . 81 in
. 1953 in .
511 in . 68
in . 177 in
. 171 in .
710 in . 217
in . 4610 in
. 355 in .
177 in . 5565
in . 5287 in
. 218 in .
91 in . 46
in . 49 in
. 98 in .
138 in . 65
in . 108 in
. 51 in .
87 in . 64
in . 182 in
. 50 in .
73 in . 123
in . 114 in
! 23995 in .
530 in . 109
in . 1867 in
! 6016 in .
189 in . 117
in . 204 in
. 256 in .
3478 in . 6399
in . 374 in
! 65021 in .
106 in . 191
in . 49 in
. 345 in .
16434 in . 890
in . 3328 in
. 55 in .
440 in . 595
in . 650 in
. 1586 in .
2163 in . 116
in ! 30497 in
. 572 in .
863 in . 302
in . 301 in
. 90 in .
122 in . 92
in . 1062 in
. 3276 in .
672 in . 114
in . 265 in
. 136 in .
55 in . 298
in ! 636263 in
. 1151 in .
2019 in . 84
in . 188 in
. 1952 in .
5014 in . 249
in . 1335 in
. 131 in .
168 in . 80
in . 123 in
. 542 in .
223 in . 75
in ! 128 in
. 8668 in .
144 in . 613
in . 350 in
. 76539 in .
48 in . 78
in . 134 in
. 5863 in .
223 in . 149
in . 11402 in
. 2172 in .
1085 in . 210
in . 189 in
. 3661 in !
647146 in . 54
in . 174 in
. 1079 in .
6300 in . 213
in . 949 in
. 654 in .
334 in . 62
in . 161 in
! 14744 in .
109 in . 549
in . 53 in
. 3961 in .
636 in ! 5556
in . 131 in
. 2520 in .
51 in . 192
in . 214 in
. 55 in .
485 in . 201
in . 137 in
. 353 in .
141 in . 2894
in . 82 in
. 138 in .
254 in . 133
in . 250 in
. 146 in !
1331466 in . 1708
in . 96 in
. 1389 in .
181 in . 2012
in . 1564 in
. 56 in .
284 in . 95
in . 695 in
. 746 in .
125 in . 139
in . 102 in
. 330 in .
1805 in ! 98592
in . 85 in
. 89 in .
117 in . 174
in . 185 in
. 51 in .
4187 in . 5072
in . 431 in
! 7508 in .
73 in . 1979
in . 633 in
. 381 in .
400 in . 4469
in . 1214 in
. 357 in .
1076 in . 760
in ! 15926 in
! 145078 in .
64 in . 3563
in . 754 in
. 327 in .
319 in . 3144
in . 1164 in
. 192 in .
69 in . 269
in . 93 in
. 48 in .
219 in . 29286
in . 125 in
. 119 in .
391 in . 166
in . 59 in
. 2119 in .
275 in . 143
in . 57 in
. 307 in .
50916 in . 54
in . 94 in
. 4719 in .
202 in . 356
in . 123 in
. 225 in .
54 in . 347
in . 60 in
. 210 in .
92 in . 126
in . 1376 in
. 72 in .
52943 in . 839
in . 117 in
. 839 in .
181 in . 1899
in . 202 in
. 262 in .
5538 in ! 21132
in . 1352 in
. 184 in .
3758 in . 1776
in . 67 in
! 10467 in .
58 in . 261
in . 89 in
. 12726 in .
468 in ! 8227
in . 246 in
. 85 in .
202 in . 97
in . 108 in
! 68412 in .
79 in . 53
in . 3729 in
. 63 in .
71 in ! 214179
in . 144 in
. 82 in .
87 in . 339
in . 878 in
. 67 in .
90 in . 7584
in . 83 in
. 378 in .
130 in . 197
in . 197 in
. 3060 in .
103 in . 123
in . 65 in
. 565 in .
1196 in . 193
in . 50 in
. 87 in .
62 in . 121
in . 49 in
. 225 in .
3110 in . 11849
in . 115 in
! 684 in .
2941 in . 422
in . 63 in
. 346 in .
206 in . 62
in . 104 in
. 290 in .
145 in . 688
in . 842 in
. 192 in .
212 in . 1267
in . 1106 in
. 160 in .
369 in . 318
in . 2944 in
. 277 in .
645 in ! 2713
in . 106 in
. 4800 in .
889 in . 100
in ! 132260 in
. 2251 in .
254 in . 301
in . 630 in
. 10944 in .
96 in ! 46265
in . 56 in
. 40 in .
145 in . 231
in . 111 in
. 83 in .
144 in . 167
in . 129 in
. 1047 in .
181 in . 115
in . 247 in
. 1716 in .
61 in . 53
in . 246 in
. 55 in .
45 in . 43
in . 137 in
. 66 in .
230 in . 81
in . 820 in
. 142 in .
103 in . 116439
in . 2583 in
. 118 in .
80 in . 1751
in . 863 in
. 770 in .
336 in . 320
in . 1157 in
. 157 in .
111 in . 69366
in . 201175 in
. 761 in .
1015 in . 334
in . 1867 in
. 76 in .
455 in . 651
in . 125 in
. 3383 in .
184 in . 181
in . 1053 in
. 18166 in .
114 in . 164
in . 44 in
. 6298 in .
94 in . 67
in . 153 in
. 83 in .
231 in . 446
in . 95 in
. 198 in .
59 in . 121
in . 48 in
. 111 in .
117 in . 321
in . 93 in
. 87 in .
257 in . 4110
in . 58 in
. 1868 in !
4468 in . 258
in . 373 in
. 76 in .
63 in . 59
in . 422 in
. 110 in .
254 in . 692
in . 1429 in
. 977 in .
956 in . 535
in . 4463 in
. 238 in .
915 in . 1249
in . 162 in
. 84 in .
250 in . 403
in . 207 in
. 4091 in .
1995 in . 162
in . 74 in
. 277 in .
45 in . 461
in . 49 in
. 86 in .
168 in . 68
in . 110 in
. 98 in .
240 in . 52
in . 81 in
. 94 in .
127 in . 405
in . 149 in
. 148 in .
701 in . 56
in . 1155 in
. 121 in .
100 in . 566
in . 220 in
. 126 in .
224 in . 69
in . 175 in
. 63 in !
681 in . 89
in . 46 in
. 860 in .
14520 in . 13043
in . 1030 in
! 37553 in .
880 in . 290
in . 82 in
. 149 in !
42601 in ! 87162
in . 309 in
. 636 in !
36843 in . 193
in . 41 in
. 44 in .
53 in . 103
in . 41 in
. 918 in .
153 in . 60
in . 2195 in
. 587 in .
343 in ! 57852
in . 175 in
! 106333 in .
50 in . 120
in . 6484 in
. 215 in .
57 in . 156
in . 205 in
. 62 in .
344 in . 83
in . 109 in
. 23071 in .
5148 in . 2862
in ! 532884 in
. 64 in .
50 in . 644
in . 81 in
. 1942 in .
129 in . 102
in . 112 in
. 81 in .
590 in . 335
in . 323 in
. 101 in .
223 in . 505
in . 129 in
. 124 in !
16827 in ! 379395
in . 251 in
. 52 in .
289 in . 55
in . 409 in
. 454 in .
877 in . 401
in . 520 in
. 136 in .
179 in . 494
in . 779 in
. 156 in .
44 in . 189
in . 51 in
. 73282 in .
6270 in . 92
in . 477 in
. 674 in .
104 in . 78
in . 104 in
. 665 in .
524 in . 504
in . 124 in
. 123 in .
47 in ! 11437
in ! 33366 in
. 66 in .
51 in . 1345
in . 1609 in
! 23265 in .
139 in . 200
in . 100 in
. 156 in .
62 in . 620
in . 345 in
. 249 in .
138 in . 128
in . 66 in
. 1317 in .
116 in . 52
in . 45 in
. 167 in .
51 in . 111
in . 379 in
. 509 in .
53216 in . 1286
in . 180 in
. 249 in .
254 in . 4627
in ! 12815 in
. 296 in .
152 in . 4340
in . 44 in
. 196 in .
106 in . 280
in . 303 in
. 2266 in .
7266 in . 90
in . 85 in
. 77 in .
317 in ! 3539
in . 25612 in
. 103 in .
219 in . 250
in . 48 in
. 246 in .
81 in . 315
in . 121 in
. 42 in .
106 in . 184
in . 72 in
. 2601 in .
321 in . 410
in . 176 in
. 139 in .
78 in . 156
in ! 34056 in
. 885 in .
3040 in . 49
in . 8229 in
. 52 in .
3302 in . 5096
in ! 713935 in
. 588 in .
254 in . 72
in . 2021 in
! 28268 in .
1662 in . 1962
in . 161 in
. 85 in .
44 in . 620
in . 3044 in
. 1778 in .
310 in . 870
in . 133 in
. 116 in .
71 in . 1764
in . 103 in
. 221 in .
3239 in ! 85997
in . 149 in
. 69 in .
55 in . 227
in . 161 in
. 53 in .
169 in . 99
in . 170 in
. 195 in .
232 in . 154
in . 63 in
. 230 in .
3829 in . 109
in . 245 in
. 61 in .
116 in . 2333
in ! 206 in
. 141 in !
55296 in . 58
in . 5436 in
. 4308 in .
55 in . 75
in . 163 in
. 171 in .
52 in . 2770
in . 79 in
. 251 in .
305 in . 209
in . 725 in
. 147 in .
5328 in . 1334
in . 1649 in
. 394 in .
258 in . 51
in . 136 in
. 46 in .
509 in . 300
in . 94 in
. 153 in .
181 in . 875
in . 703 in
. 266 in .
219 in . 68
in . 107 in
. 554 in .
533 in . 104
in . 64 in
! 3039 in .
90 in . 579
in . 615 in
. 85 in .
82 in . 1396
in ! 9336 in
. 236 in .
330 in . 105
in . 232 in
. 169 in !
5049 in . 286
in . 134 in
. 342 in .
129 in ! 30276
in . 140 in
. 4847 in .
383 in . 285
in . 159 in
. 521 in !
71813 in . 171
in . 68 in
. 290 in .
498 in . 43
in . 298 in
. 92 in .
79 in . 494
in . 278 in
. 743 in .
52 in . 227
in . 525 in
. 53 in .
98 in . 61
in . 2473 in
. 91 in .
11219 in . 117
in . 817 in
. 76 in .
92 in . 371
in . 2735 in
. 141 in .
364 in . 50
in . 72 in
. 164 in .
182 in . 661
in . 110 in
. 138 in .
68 in . 75
in . 180 in
. 120 in .
162 in . 196
in . 959 in
. 853 in .
54 in . 1513
in ? 57 in
. 126 in .
62 in . 130
in . 533 in
. 166 in .
1120 in . 1341
in . 2480 in
. 86 in .
59 in . 1078
in . 500 in
. 2025 in .
657 in . 4001
in . 19239 in
. 506855 in .
108 in . 7158
in . 7202 in
. 159 in .
95 in . 125
in . 602 in
. 47677 in .
435 in . 428
in . 55 in
. 104 in !
21387 in . 46
in . 98 in
. 111 in .
130 in . 126
in . 228 in
. 4059 in .
83 in ! 37514
in . 2779 in
. 110 in .
46 in . 607
in . 84 in
. 1196 in .
184 in . 64
in . 132 in
. 87 in .
2575 in . 151
in . 49 in
. 285 in .
629 in . 74
in . 85 in
. 73 in .
129 in . 142
in . 86 in
. 131 in .
25524 in . 143
in . 52 in
! 14330 in .
83 in . 535
in . 292 in
. 327 in .
53 in . 683
in . 71 in
. 150 in .
64 in . 126
in . 89 in
. 126 in .
307 in . 383
in . 79 in
. 59 in .
1695 in . 132
in . 131 in
. 23461 in .
1051 in . 1161
in . 170 in
. 2815 in .
207 in . 168
in . 142 in
. 51 in .
1800 in ! 8131
in . 957 in
. 424 in !
12645 in . 4036
in . 3423 in
! 8640 in .
160 in . 1323
in . 45 in
. 306 in .
306 in . 285
in . 96 in
. 689 in .
470 in . 72
in . 1580 in
! 12420 in .
2739 in . 263
in . 668 in
. 117 in .
111 in ! 50063
in . 127 in
. 81 in !
25770 in . 122
in . 556 in
. 59 in .
2635 in . 224
in . 281 in
. 73 in .
570 in . 53
in . 15305 in
. 112 in .
61 in . 328
in . 308 in
